title,content,date,variant,images,verified,author,rating,product,url
Genuine Review,I got this product it looks cool and awesome bcz in this segments it is worth for money,04 Mar 2023,Colour: Blue,,Yes,Ezhilarasan,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
Looks good and formal,"Watch goes perfect for formal wear. Only disappointing point was its packaging, wasn’t packed properly. But watch looks good and classic! Worth the money!",20 Feb 2023,Colour: White,,Yes,Satish Nagarajan,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
Day and date,Previous watch date and time are not working on return it was working and also the weight of the watch is decreased and looking like a premium one,16 Feb 2023,Colour: White,,Yes,Placeholder,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
nice product,Good and nice product,26 May 2023,Colour: White,,Yes,Rijen limbu,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
Overall good,Nice watch... Pocket friendly... Accurate.,01 Mar 2023,Colour: White,,Yes,Arun Sharma,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
Value for money,Its nice,27 May 2023,Colour: White,,Yes,Amit Kejriwal,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
Looks great fr now but feels a bit delicate to me...,Looks great fr now but feels a bit delicate to me...,19 May 2023,Colour: White,,Yes,Sheru,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
Best watch,One of the best watch. Great design.,18 May 2023,Colour: White,"https://m.media-amazon.com/images/I/611Alo6baVL._SY88.jpg
https://m.media-amazon.com/images/I/71x-XZW52oL._SY88.jpg",Yes,MIRZA AHMED BAIG,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
Good,Amazing product,22 Feb 2023,Colour: White,,Yes,vishal panwar,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
Good product but not the best.,"I like thise product its comes good packaging i like it, by it good product for good price.",12 Mar 2023,Colour: Blue,,Yes,SIDDHARTHA HALDER,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3
Very nice. Go for it 👌👌👌👌,,15 May 2023,Colour: White,https://m.media-amazon.com/images/I/71OZQxIlESL._SY88.jpg,Yes,Shahul shaik,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
A good watch for its price.,Looks Decent for casual wear and everyday usage.,08 May 2023,Colour: White,,Yes,Ian Meiys,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
Great Design,"Looking gorgeous, less battery 🔋 consuming",04 Feb 2023,Colour: White,,No,Meer aabid,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
Watch,"Very nice quality, very nice pricing .. thankyou so much",30 Apr 2023,Colour: Blue,https://m.media-amazon.com/images/I/71cb7BhObuL._SY88.jpg,Yes,aditya bopparaju,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
Value for money,Best watch in this price,03 May 2023,Colour: Blue,https://m.media-amazon.com/images/I/61n+FzrIAiL._SY88.jpg,Yes,Sunita,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
Thanks Amazon,Best product 👌,05 May 2023,Colour: Blue,,Yes,Ganesh Ramesh Kale,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
Good quality products ☺️,The media could not be loaded.,07 Feb 2023,Colour: Blue,"https://m.media-amazon.com/images/I/61gGFWtSrCL._SY88.jpg
https://m.media-amazon.com/images/I/71TzOfZ1YEL._SY88.jpg",No,Monu Gagda,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
Very nice 👍,I like this one 🕜,30 Apr 2023,Colour: Blue,,Yes,Gopi,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
Very nice product,Value for money!! Good packaging. Just bought... Don't know about durability. But I'm happy at the moment!!,22 Apr 2023,Colour: White,,Yes,Kavita,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
Good product,Nice look,28 Jan 2023,Colour: White,,Yes,Saravanan,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4
Good delivery,Well product,03 May 2023,Colour: White,,Yes,N Paramesh,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
Third quality !!,Third quality product and if u want means u can buy it 😔,12 Feb 2023,Colour: White,"https://m.media-amazon.com/images/I/61CWPcNAbcL._SY88.jpg
https://m.media-amazon.com/images/I/61s4C0akzIL._SY88.jpg
https://m.media-amazon.com/images/I/71hPqAIZJGL._SY88.jpg
https://m.media-amazon.com/images/I/812HI3BqN3L._SY88.jpg
https://m.media-amazon.com/images/I/81HSeJ-q0tL._SY88.jpg",Yes,Yasmin,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
"Overall good product in budget, only quality of material is average",I found good analogue watch with date and time in budget. Value for money product,07 Jan 2023,Colour: White,,Yes,Jonson,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
Should definety buy,"I really loved this watch, the build quality is great, plus it shows the date and day accurately. But you might need to fix it sometimes. Specifically, on Months like February which doesn't have 31 days.",07 Apr 2023,Colour: Blue,,Yes,Rasel,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
Excellent,Quality best,26 Apr 2023,Colour: White,,Yes,Mithlesh Rishi,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
Amazing product,🕴️,26 Apr 2023,Colour: Blue,https://m.media-amazon.com/images/I/71KeozEpR4L._SY88.jpg,Yes,Maishal vasuniya,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
Nice !,Value for money,12 Jan 2023,Colour: White,,Yes,Varsha Deepak Sancheti,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
Nice Watch!!,Looks Awesome!!,11 Jan 2023,Colour: White,,Yes,manish verma,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
Value for money,Package was too local and  Damaged,03 Jan 2023,Colour: White,,Yes,Amazon Customer,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
Not light weight but ok at this orice range,,01 Feb 2023,Colour: White,"https://m.media-amazon.com/images/I/615JZnpocxL._SY88.jpg
https://m.media-amazon.com/images/I/61i93UZVcwL._SY88.jpg",No,Jay,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5
It is good but the quality of mirror is not good it get broke at one drop on floor😩😩,,01 Feb 2023,Colour: White,https://m.media-amazon.com/images/I/71LhqukyNfL._SY88.jpg,Yes,Aryan,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
Good but not a perfect,,30 Jan 2023,Colour: White,"https://m.media-amazon.com/images/I/71OTY36sElL._SY88.jpg
https://m.media-amazon.com/images/I/71iT3wX4JiL._SY88.jpg",Yes,PRiti patel,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
Mechanism,Day mechanism didn't work.,25 May 2023,Colour: White,,Yes,Yash,2.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
👍,Good One.,28 Jan 2023,Colour: Blue,,Yes,Subhendu,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
Good,Good,27 Dec 2022,Colour: White,,Yes,nageswararao,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
Good,Good material,13 Apr 2023,Colour: Blue,,Yes,Abid gaffar sarguru,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
Timewear watch is good but watch lock is bad so its not good,The media could not be loaded. टाइमवार घड़ी अच्छी है परन्तु इसका लॉक बेकार है सो यह सही नहीं है । यह घड़ी पानी प्रतिरोधी (water proof) नहीं है,10 May 2023,Colour: White,,Yes,8960205524,2.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
Ok According To price,Good Buy,16 Jan 2023,Colour: Blue,,Yes,Mahesh Singh,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
"Not Great but, Gets the Job done","Good: 1. Lightweight 2. Tells the time 🤣 3. and the Date & Day 🤣🤣 Bad: 1. Pathetic Packaging 2. Poor Build Quality I mean, what can we really expect from a INR 350 rupees watch 😂😅",18 Nov 2022,Colour: White,,No,Tuhin Karmakar,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
Not good product because battery life not good i use battery only 1 month,Not good product because battery life not good i use battery only 1 month and battery dead,04 Nov 2022,Colour: White,,Yes,Gaurav Rathaur,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6
It was nice,I like change of date,22 Nov 2022,Colour: Blue,,No,sathya narayana,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
Good,Very good product,31 Mar 2023,Colour: Blue,,Yes,Hussain Khan,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
Havi Wight,Watch is good working but waight is higess than comfortable good,26 Mar 2023,Colour: White,"https://m.media-amazon.com/images/I/61RIFsfjMzL._SY88.jpg
https://m.media-amazon.com/images/I/61zYelVhXtL._SY88.jpg",Yes,VINOTHKUMAR S,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
"Atleast 30days review is the best satisfied,try once",Present Running good,01 Apr 2023,Colour: White,,Yes,RAJESH.LK,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
The best watch in this price..,Worth for money... Best watch in this price.. I recommend this watch.. It is best experience..,17 Mar 2023,Colour: White,https://m.media-amazon.com/images/I/71UIPBvy7+L._SY88.jpg,Yes,Ranjeet Verma,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
Nice,Nice,04 Apr 2023,Colour: White,https://m.media-amazon.com/images/I/81T52122NaL._SY88.jpg,Yes,Ravikiran kenjale,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
Ok,Products is simple,23 Nov 2022,Colour: Blue,,Yes,Amazon Customer,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
No,Very very bad product,18 Apr 2023,Colour: White,https://m.media-amazon.com/images/I/61WIQfkuJRL._SY88.jpg,Yes,Sowrirajan,2.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
Value for money... Best one,,23 Nov 2022,Colour: Blue,"https://m.media-amazon.com/images/I/61agcK1WR3L._SY88.jpg
https://m.media-amazon.com/images/I/71ZjmA5YjHL._SY88.jpg",Yes,Akhil Kumar,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
This Watch is Worth It!!!!,"First of all, this watch is really great but there are few cons about it, • According to watches, This watch is heavy not that much heavy but still. • It was not working (it required watch cell to make it work which was worth around Rs. 30 - 60) And lastly • It was packed pressurly, it required a lot of effort to open the box Overall, This Watch is Worth It!!!! Go For It!!!",10 May 2022,Colour: White,https://m.media-amazon.com/images/I/81Nu2tM5w7L._SY88.jpg,Yes,Gagan,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7
Ok ok,The hours hand will move automatically if you swnig your hand fast...,08 Dec 2022,Colour: White,,Yes,Viraj shah,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
Perfect Design,"best watches , best look",22 Mar 2023,Colour: White,,Yes,Vaibhav aggarwal,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
"Style, quality",Worth full. Stylish & Branded,05 Nov 2022,Colour: Blue,,Yes,Kandi Sai mani,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
Nice watch in this price range. Attractive dial with blue background.,I love this watch.,24 Mar 2023,Colour: Blue,"https://m.media-amazon.com/images/I/71RmjkdLzJL._SY88.jpg
https://m.media-amazon.com/images/I/81RUP2I7CeL._SY88.jpg",Yes,Shivam pandey,5.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
Value for money,A decent looking watch and is worth the price paid. Not sure whether it is water proof or not.,05 Oct 2022,Colour: White,,Yes,Amazon Customer,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
Nice watch,Great fitting it is also nice to very in a function but it is not like shown it in the photos this little bit of different 😅,11 Sep 2022,Colour: White,,Yes,Maonj,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8
